Process,ProductName,Tag,Type
pulse.exe,Pulse Secure VPN Client,VPN,VPN
pulsesecureservice.exe,Pulse Secure Service,VPN,VPN
vpnagent.exe,Cisco AnyConnect / Secure Client,VPN,VPN
vpnui.exe,Cisco AnyConnect,VPN,VPN
wireguard.exe,WireGuard,VPN,VPN
qualysagent.exe,Qualys Cloud Agent,VULN,Vuln Mgmt / Compliance
qualysagentui.exe,Qualys Cloud Agent UI,VULN,Vuln Mgmt / Compliance
sensetvm.exe,Microsoft Defender TVM,VULN,Vulnerability Mgmt
vulnerabilityprotectionagent.exe,Trend Micro Vulnerability Protection Agent,VULN,Vuln Mgmt
analyticssrv.exe,Citrix Analytics Service,ZTNA,VDI / ZTNA
aoservice.exe,Citrix Secure Access Client Service,ZTNA,ZTNA / VPN
appprotection.exe,Citrix App Protection,ZTNA,ZTNA / Anti-hooking
authmansvr.exe,Citrix Authentication Manager,ZTNA,VDI / ZTNA
csc_iseagent.exe,Cisco Secure Client ISE Agent,ZTNA,ZTNA / NAC
csc_iseposture.exe,Cisco Secure Client ISE Posture,ZTNA,ZTNA / NAC
ctxsdps.exe,Citrix Endpoint Analysis / Secure Access,ZTNA,ZTNA / VPN
nsload.exe,Citrix Secure Access Client Loader,ZTNA,ZTNA / VPN
nsverctl.exe,Citrix Secure Access Verification Control,ZTNA,ZTNA / VPN
receiver.exe,Citrix Workspace Receiver,ZTNA,VDI / ZTNA
redirector.exe,Citrix Redirector,ZTNA,VDI / ZTNA
selfservice.exe,Citrix Workspace Self-Service,ZTNA,VDI / ZTNA
selfserviceplugin.exe,Citrix Workspace Self-Service Plugin,ZTNA,VDI / ZTNA
ssonsvr.exe,Citrix Single Sign-On,ZTNA,VDI / ZTNA
stagentae.exe,Netskope Agent Engine,ZTNA,ZTNA / CASB / DLP
stagentsvc.exe,Netskope Client Service,ZTNA,ZTNA / CASB / DLP
stagentui.exe,Netskope Client UI,ZTNA,ZTNA / CASB / DLP
updaterservice.exe,Citrix Workspace Updater (CWAUpdaterService),ZTNA,ZTNA / Workspace
wfcrun32.exe,Citrix ICA Client Runtime,ZTNA,VDI / ZTNA
zdpapp.exe,Zscaler Digital Experience App,ZTNA,ZTNA / DX Monitoring
zdpclassifier.exe,Zscaler Digital Experience Classifier,ZTNA,ZTNA / DX Monitoring
zdpservice.exe,Zscaler Digital Experience Service,ZTNA,ZTNA / DX Monitoring
zsaservice.exe,Zscaler Service Agent,ZTNA,ZTNA / SWG
zsatray.exe,Zscaler Client Connector (ZTNA / SWG),ZTNA,Proxy / CASB / ZTNA
zsatraymanager.exe,Zscaler Client Connector (privileged),ZTNA,Proxy / CASB / ZTNA
zsatunnel.exe,Zscaler Tunnel Agent,ZTNA,ZTNA / SWG
